Task,LLaMat3-chat,LLaMat3,LLaMA3-chat-FT,LLaMA3-FT,LLaMat2-chat,LLaMat2,LLaMA2-chat-FT,LLaMA2-FT,Claude-3.5-Sonnet,Claude-3-Opus,Claude-3-Haiku,Gemini-1.5-Pro,Gemini-1.5-Flash,Gemini-1.5-Flash-8b,GPT-4o,GPT-4
"(ner, matscholar)",88.68,84.72,84.24,85.09,85.22,83.62,83.12,82.43,37.92,35.11,0.21,39.5,10.22,17.34,20.46,24.06
"(ner, sofc_token)",91.62,88.99,88.5,90.95,90.63,87.41,88.9,88.51,81.74,71.3,5.72,81.07,1.78,50.4,80.76,78.49
"(ner, sc_comics)",90.48,87.74,79.58,90.0,91.98,91.61,90.82,91.1,55.29,50.6,21.81,51.84,53.6,48.37,45.79,48.11
"(pc, glass_non_glass)",94.33,84.33,86.67,92.0,93.33,92.33,92.0,92.0,60.33,55.17,55.33,68.33,72.67,77.67,74.0,66.0
"(sf, sofc_token)",86.05,81.58,81.11,84.11,85.95,85.71,82.5,80.55,70.75,63.47,2.45,12.2,0.0,3.39,76.22,74.73
"(ee, sc_comics)",94.47,80.93,83.2,94.25,95.96,95.33,95.2,92.17,92.71,92.62,81.64,91.92,84.12,84.56,95.91,82.28
"(re, structured_re)",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.85,93.46,99.54,99.74,98.63,98.3,99.35
"(re, sc_comics)",94.02,93.54,70.57,74.64,99.76,99.76,99.76,100.0,52.87,20.99,56.22,53.35,33.97,20.81,52.39,18.18
"(sar, synthesis_actions)",96.44,96.13,95.76,96.22,96.68,95.76,96.96,96.22,75.07,64.44,20.44,71.65,65.8,57.57,68.23,57.88
"(sc, sofc_sent)",94.18,93.05,92.62,93.8,93.75,94.07,93.69,93.64,39.25,23.75,21.35,27.82,45.23,52.78,70.4,51.32
"(qna, squad)",85.26,84.71,85.11,85.05,86.46,85.68,85.02,86.03,16.55,22.17,23.78,85.01,82.83,82.18,67.97,37.62
"(mcq, hellaswag)",78.18,83.5,84.22,84.22,81.86,81.66,82.28,83.2,83.91,86.37,77.66,86.68,82.48,70.8,89.34,54.1
"(mcq, boolqa)",84.2,84.8,86.0,86.0,85.6,85.4,84.4,86.2,89.4,88.43,88.2,89.2,90.4,87.2,88.4,90.8
"(mcq, story_cloze)",98.46,98.15,98.76,97.53,97.53,96.3,97.53,96.91,99.69,97.87,87.65,99.38,99.38,98.76,88.58,52.47
