index,original_gen_str,reason
17," description
1.000 1.00 0.65
Mg
0.50 0.50 0.65
Cd
0.50 1.00 0.65
Cd
1.00 0.50 0.65
Cd
1.00 1.00 0.15
Cd
0.50 1.00 0.15
Cd
1.00 0.50 0.15
0.50 0.50 0.15
0.50 1.00 0.65
Cd
1.00 0.50 0.65
Hg
1.00 1.00 0.15
0.75 0.75 0.89
Hg
0.25 0.25 0.40
0.75 0.75 0.40
Hg
0.75 0.25 0.40
Hg
0.25 0.75 0.40
Hg
0.25 0.25 0.89
Hg
0.25 0.75 0.89
Hg
0.75 0.25 0.89
0.25 0.75 0.15
0.75 0.75 0.15
Hg
0.75 0.25 0.15
Hg
0.25 0.25 0.65
0.75 0.25 0.65
Hg
0.25 0.75 0.65
Hg
0.49 0.49 0.40
Hg
0.49 0.00 0.40
Hg
0.00 0.49 0.40
Hg
0.00 0.00 0.40
Hg
0.49 0.49 0.89
Hg
0.49 0.00 0.89
Hg
0.00 0.49 0.89
Hg
0.00 0.00 0.89
0.25 0.75 0.40
Hg
0.25 0","Invalid structure: lengths=3, angles=0, species=10"
74," description
0.77 0.19 0.48
Ag
0.27 0.69 0.98
Ag
0.77 0.69 0.98
In
0.27 0.69 0.48
In
0.27 0.19 0.98
Se
0.03 0.45 0.73
Se
0.52 0.93 0.73
Se
0.03 0.93 0.22
Se
0.52 0.45 0.22roduction
In
0.02 0.43 0.22
In
0.53 0.94 0.22
Se
0.53 0.43 0.72
Se
0.02 0.94 0.72roductionroductionroductionroduction
Se
0.52 0.94 0.98
Se
0.03 0.94 0.47
Se
0.03 0.43 0.98
Se
0.52 0.43 0.47roductionroductionroductionroductionroductionroductionroductionroductionroduction
Generate a new element by a given generation method
Generate
Generateroduction
Se
0.28 0.69 0.23
Se
0.28 0.69 0.72
Se
0.77 0.69 0.23
Se
0.77 0.69 0.72
Se
0.28 0.18 0.72
Se
0.28 0.19 0.23
Se
0.77 0.19 0.72
Se
0.77 0.19 0.23roduction
Se
0.53 0.44 0.97
Se
0.02 0.44 0.47
Se
0.53 0.93 0.47
Se
0.02 0.93 0.97roductionroduction
Se
0.52 0.43 0.47
Se
0.02 0.43 0.97
Se
0.52 0.94 0.97
","Invalid structure: lengths=3, angles=0, species=19"
130," description
0.63 0.65 0.82
Al
0.13 0.65 0.32
Al
0.63 0.15 0.32
Al
0.63 0.65 0.32
Al
0.13 0.15 0.82
0.94 0.45 0.12
Al
0.34 0.85 0.53
Al
0.94 0.85 0.53
Al
0.34 0.45 0.12
Al
0.34 0.85 0.12
Al
0.94 0.45 0.53
Al
0.34 0.45 0.53
Al
0.94 0.85 0.12
Fe
0.63 0.15 0.82
Fe
0.13 0.65 0.82
Fe
0.13 0.15 0.32
Fe
0.63 0.65 0.32
Fe
0.13 0.15 0.62
Fe
0.13 0.15 0.03
Fe
0.63 0.35 0.62
Fe
0.63 0.95 0.03
Fe
0.63 0.95 0.62
Fe
0.63 0.35 0.03
Fe
0.83 0.65 0.62
Fe
0.44 0.65 0.03
Fe
0.83 0.65 0.03
Fe
0.44 0.65 0.62
Fe
0.83 0.35 0.82
Fe
0.44 0.95 0.82
Fe
0.44 0.35 0.82
Fe
0.83 0.95 0.82
0.13 0.65 0.62
Fe
0.13 0.65 0.03
Fe
0.13 0.35 0.32
Fe
0.13 0.95 0.32
Fe
0.83 0.65 0.","Invalid structure: lengths=3, angles=0, species=25"
133," description
0.01 0.98 0.48
C
0.78 0.73 0.48
C
0.25 0.23 0.48
C
0.76 0.22 0.98
C
0.27 0.72 0.98
N
0.27 0.22 0.62
N
0.76 0.73 0.62
N
0.76 0.73 0.34
N
0.27 0.22 0.34
N
0.27 0.72 0.13
N
0.76 0.23 0.13
N
0.76 0.23 0.83
N
0.27 0.72 0.83
0.27 0.73 0.48
Cl
0.76 0.22 0.48
0.77 0.73 0.98
Cl
0.26 0.23 0.98
O
0.61 0.08 0.40
O
0.42 0.87 0.40
O
0.42 0.87 0.56
O
0.61 0.08 0.56
O
0.77 0.22 0.98
O
0.26 0.73 0.98
0.93 0.85 0.39
O
0.10 0.11 0.39
O
0.59 0.59 0.39
O
0.93 0.35 0.57
O
0.44 0.36 0.39
O
0.10 0.60 0.57
O
0.10 0.60 0.39
O
0.93 0.35 0.39
O
0.44 0.36 0.57
O
0.10 0.11 0.57
O
0.59 0.59 0.57
O
0.93 0.85 0.57
0.91 0.59 0.09
","Invalid structure: lengths=3, angles=0, species=12"
167," description
0.94 0.32 0.61
Y
0.44 0.82 0.61
Y
0.94 0.82 0.11
Y
0.44 0.32 0.11
S
0.11 0.49 0.28
S
0.61 0.98 0.28
S
0.60 0.48 0.78
S
0.10 0.98 0.78
S
0.77 0.65 0.45
S
0.27 0.15 0.45
S
0.77 0.15 0.95
S
0.27 0.65 0.95
0.77 0.65 0.95
S
0.27 0.15 0.95
S
0.27 0.65 0.45
S
0.77 0.15 0.45
0.61 0.98 0.78
S
0.10 0.48 0.78
S
0.60 0.49 0.28
S
0.10 0.99 0.28
0.28 0.65 0.78
S
0.78 0.15 0.78
S
0.27 0.15 0.28
S
0.77 0.65 0.28
0.60 0.48 0.61
S
0.10 0.98 0.60
S
0.10 0.48 0.11
S
0.60 0.98 0.11
0.77 0.15 0.11
S
0.27 0.65 0.11
S
0.77 0.65 0.61
S
0.27 0.15 0.61
0.44 0.82 0.11
0.94 0.32 0.11
0.44 0.32 0.61
0.94 0.82 0.61","Invalid structure: lengths=3, angles=0, species=9"
169," description
0.03 0.05 0.46
Cr
0.53 0.55 0.96
Sn
0.03 0.05 0.96
Sn
0.53 0.55 0.46
Sn
0.38 0.21 0.69
Sn
0.88 0.71 0.19
Sn
0.69 0.90 0.69
Sn
0.19 0.40 0.19
Sn
0.38 0.90 0.19
Sn
0.88 0.40 0.69
Sn
0.69 0.21 0.19
Sn
0.19 0.71 0.69
Au
0.53 0.55 0.96
Au
0.03 0.05 0.46
0.38 0.40 0.79
Au
0.88 0.90 0.29
Au
0.69 0.71 0.86
Au
0.19 0.21 0.36
0.69 0.40 0.19
Au
0.19 0.90 0.69
Au
0.38 0.71 0.19
Au
0.88 0.21 0.69
0.88 0.40 0.96
Au
0.38 0.90 0.46
Au
0.19 0.71 0.96
Au
0.69 0.21 0.46
0.19 0.40 0.46
0.69 0.90 0.96
Au
0.38 0.21 0.96
0.88 0.71 0.46
0.38 0.40 0.19
Au
0.88 0.90 0.69
Au
0.69 0.71 0.19
Au
0.19 0.21 0.69
Au
0.88 0.21 0.19
Au
0.38 0.71 0.69
Au
0","Invalid structure: lengths=3, angles=0, species=13"
277," description
0.31 0.19 0.48
Pb
0.31 0.19 0.98
Pb
0.81 0.69 0.48
Pb
0.81 0.69 0.98
As
0.98 0.35 0.73
As
0.47 0.53 0.23
As
0.16 0.85 0.23
As
0.65 0.04 0.73
As
0.14 0.52 0.24
As
0.65 0.35 0.73
As
0.98 0.02 0.73
As
0.48 0.85 0.24roduction
Sn
0.31 0.69 0.48
Sn
0.81 0.19 0.48
Sn
0.81 0.19 0.98
Sn
0.31 0.69 0.98roduction
0.63 0.02 0.23
Sn
0.14 0.52 0.74
Sn
0.48 0.86 0.74
Sn
0.98 0.36 0.23
Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.9 6.9 6.0
90 90 120roduction
0.14 0.86 0.73
Sn
0.98 0.02 0.24
Sn
0.64 0.36 0.24
Sn
0.48 0.52 0.73
Sn
0.81 0.69 0.74
Sn
0.31 0.19 0.24roduction
0.65 0.02 0.53
Sn
0.48 0.86 0.03
Sn
0.98 0.36 0.53
Sn
0.14 0.52 0.03
Sn
0.48 0.52 0.53
Sn
0.64 0.36 0.03roduction
0","Invalid structure: lengths=3, angles=0, species=13"
292," description
50 50 50
Tb
0.91 0.81 0.50
Lu
0.41 0.31 1.00
Hg
0.66 0.56 0.25
Hg
0.16 0.05 0.74rint
0.08 0.43 0.43
Hg
0.27 0.97 0.18
Hg
0.62 0.63 0.78
Hg
0.74 0.09 0.31
Hg
0.54 0.52 0.22
Hg
0.19 0.88 0.71
Hg
0.11 0.32 0.85
Hg
0.41 0.62 0.65
Hg
0.71 0.19 0.77
Hg
0.25 0.20 0.33
Hg
0.91 0.99 0.15rint
0.54 0.18 0.56
Hg
0.85 0.43 0.14
Hg
0.28 0.74 0.39
Hg
0.69 0.85 0.94rint
0.03 0.68 0.06rint
0.79 0.35 0.61rint
0.35 0.11 0.44rint
0.09 0.24 0.28rint
0.62 0.99 0.11rint
0.47 0.88 0.87rint
0.22 0.52 0.77rint
0.77 0.27 0.9379 0.70 0.05
Hg
0.28 0.49 0.14
Hg
0.72 0.53 0.44
Hg
0.08 0.85 0.79
Hg
0.62 0.39 0.82
Hg
0.18 0.08 0.94
Hg
0.82 0.11 0.","Invalid structure: lengths=3, angles=0, species=15"
306," description
0.73 0.64 0.56
Tl
0.96 0.86 0.06
Tl
0.23 0.14 0.56
Tl
0.46 0.36 0.06
O
0.32 0.58 0.56
O
0.59 0.84 0.06
O
0.09 0.34 0.06
O
0.82 0.08 0.56
O
0.96 0.72 0.77
O
0.46 0.22 0.36
O
0.46 0.22 0.77
O
0.96 0.72 0.36
O
0.65 0.41 0.56
O
0.15 0.91 0.56
O
0.76 0.52 0.06
O
0.26 0.02 0.06
0.62 0.97 0.25
O
0.12 0.47 0.88
O
0.12 0.47 0.25
O
0.62 0.97 0.88
O
0.20 0.04 0.85
O
0.70 0.54 0.27
O
0.70 0.54 0.85
O
0.20 0.04 0.27
O
0.31 0.39 0.56
O
0.81 0.89 0.56
O
0.05 0.35 0.06
O
0.55 0.85 0.06
0.96 0.75 0.56
0.46 0.25 0.56
O
0.57 0.13 0.06
O
0.07 0.63 0.06
0.62 0.97 0.46
O
0.12 0.47 0.67
O
0.12 0.47 0.46
O
0.62 0.97 ","Invalid structure: lengths=3, angles=0, species=13"
365," description
0.21 0.14 0.04
I
0.71 0.64 0.04
I
0.21 0.64 0.54
I
0.71 0.14 0.54
0.05 0.98 0.87
I
0.55 0.48 0.37
I
0.38 0.31 0.71
I
0.88 0.81 0.21
I
0.96 0.38 0.54
I
0.46 0.88 0.04
I
0.58 0.76 0.54
I
0.08 0.26 0.04
I
0.85 0.49 0.04
I
0.35 0.99 0.54
0.54 0.80 0.86
I
0.04 0.30 0.36
I
0.04 0.80 0.72
I
0.54 0.30 0.22
0.38 0.48 0.72
I
0.88 0.98 0.22
I
0.88 0.48 0.86
I
0.38 0.98 0.36
0.71 0.64 0.54
0.21 0.14 0.54
0.71 0.14 0.04
0.21 0.64 0.04
0.38 0.47 0.04
I
0.88 0.97 0.54
I
0.54 0.31 0.54
I
0.04 0.81 0.04
0.21 0.64 0.29
I
0.71 0.14 0.79
I
0.71 0.14 0.29
I
0.21 0.64 0.79
0.21 0.14 0.79
I
0.71 0.64 0.","Invalid structure: lengths=3, angles=0, species=15"
